Date,Bin,cab_type,surge_multiplier
2018-12-14,3PM - 7PM,Uber,1.0
2018-12-14,6AM - 10AM,Lyft,1.0252488290398127
2018-12-14,6AM - 10AM,Uber,1.0
2018-12-14,7PM - 10PM,Lyft,1.0328125
2018-12-14,7PM - 10PM,Uber,1.0
2018-12-15,10AM - 3PM,Lyft,1.0256271104679209
2018-12-15,10AM - 3PM,Uber,1.0
2018-12-15,10PM - 6AM,Lyft,1.0324275634289146
2018-12-15,10PM - 6AM,Uber,1.0
2018-12-15,3PM - 7PM,Lyft,1.0291986989946778
2018-12-15,3PM - 7PM,Uber,1.0
2018-12-15,6AM - 10AM,Lyft,1.0333804586867734
2018-12-15,6AM - 10AM,Uber,1.0
2018-12-15,7PM - 10PM,Lyft,1.0297947908445146
2018-12-15,7PM - 10PM,Uber,1.0
2018-12-16,10AM - 3PM,Lyft,1.03072559678563
2018-12-16,10AM - 3PM,Uber,1.0
2018-12-16,10PM - 6AM,Lyft,1.0311027679623086
2018-12-16,10PM - 6AM,Uber,1.0
2018-12-16,3PM - 7PM,Lyft,1.0312692071296865
2018-12-16,3PM - 7PM,Uber,1.0
2018-12-16,6AM - 10AM,Lyft,1.0327504445761708
2018-12-16,6AM - 10AM,Uber,1.0
2018-12-16,7PM - 10PM,Lyft,1.032035175879397
2018-12-16,7PM - 10PM,Uber,1.0
2018-12-17,10AM - 3PM,Lyft,1.0349542192526602
2018-12-17,10AM - 3PM,Uber,1.0
2018-12-17,10PM - 6AM,Lyft,1.030435437697755
2018-12-17,10PM - 6AM,Uber,1.0
2018-12-17,3PM - 7PM,Lyft,1.0256294964028776
2018-12-17,3PM - 7PM,Uber,1.0
2018-12-17,6AM - 10AM,Lyft,1.0352904434728294
2018-12-17,6AM - 10AM,Uber,1.0
2018-12-17,7PM - 10PM,Lyft,1.0424260834345889
2018-12-17,7PM - 10PM,Uber,1.0
2018-12-18,10AM - 3PM,Lyft,1.034438775510204
2018-12-18,10AM - 3PM,Uber,1.0
2018-12-18,10PM - 6AM,Lyft,1.0362798155943074
2018-12-18,10PM - 6AM,Uber,1.0
2018-12-18,3PM - 7PM,Lyft,1.033952496954933
2018-12-18,3PM - 7PM,Uber,1.0
2018-12-18,6AM - 10AM,Lyft,1.028890247630694
2018-12-18,6AM - 10AM,Uber,1.0
2018-12-18,7PM - 10PM,Lyft,1.0184563758389262
2018-12-18,7PM - 10PM,Uber,1.0
