Date,Bin,cab_type,destination,surge_multiplier
2018-11-28,10PM - 6AM,Lyft,Financial District,1.05
2018-11-28,10PM - 6AM,Lyft,Haymarket Square,1.02
2018-11-28,10PM - 6AM,Lyft,North End,1.03
2018-11-28,10PM - 6AM,Lyft,North Station,1.03
2018-11-28,10PM - 6AM,Lyft,Northeastern University,1.04
2018-11-28,10PM - 6AM,Lyft,South Station,1.03
2018-11-28,10PM - 6AM,Lyft,Theatre District,1.02
2018-11-28,10PM - 6AM,Lyft,West End,1.03
2018-11-28,10PM - 6AM,Uber,Back Bay,1.0
2018-11-28,10PM - 6AM,Uber,Beacon Hill,1.0
2018-11-28,10PM - 6AM,Uber,Boston University,1.0
2018-11-28,10PM - 6AM,Uber,Fenway,1.0
2018-11-28,10PM - 6AM,Uber,Financial District,1.0
2018-11-28,10PM - 6AM,Uber,Haymarket Square,1.0
2018-11-28,10PM - 6AM,Uber,North End,1.0
2018-11-28,10PM - 6AM,Uber,North Station,1.0
2018-11-28,10PM - 6AM,Uber,Northeastern University,1.0
2018-11-28,10PM - 6AM,Uber,South Station,1.0
2018-11-28,10PM - 6AM,Uber,Theatre District,1.0
2018-11-28,10PM - 6AM,Uber,West End,1.0
2018-11-28,3PM - 7PM,Lyft,Back Bay,1.03
2018-11-28,3PM - 7PM,Lyft,Beacon Hill,1.04
2018-11-28,3PM - 7PM,Lyft,Boston University,1.04
2018-11-28,3PM - 7PM,Lyft,Fenway,1.03
2018-11-28,3PM - 7PM,Lyft,Financial District,1.02
2018-11-28,3PM - 7PM,Lyft,Haymarket Square,1.05
2018-11-28,3PM - 7PM,Lyft,North End,1.03
2018-11-28,3PM - 7PM,Lyft,North Station,1.04
2018-11-28,3PM - 7PM,Lyft,Northeastern University,1.03
2018-11-28,3PM - 7PM,Lyft,South Station,1.04
2018-11-28,3PM - 7PM,Lyft,Theatre District,1.03
2018-11-28,3PM - 7PM,Lyft,West End,1.02
2018-11-28,3PM - 7PM,Uber,Back Bay,1.0
2018-11-28,3PM - 7PM,Uber,Beacon Hill,1.0
2018-11-28,3PM - 7PM,Uber,Boston University,1.0
2018-11-28,3PM - 7PM,Uber,Fenway,1.0
2018-11-28,3PM - 7PM,Uber,Financial District,1.0
2018-11-28,3PM - 7PM,Uber,Haymarket Square,1.0
2018-11-28,3PM - 7PM,Uber,North End,1.0
2018-11-28,3PM - 7PM,Uber,North Station,1.0
2018-11-28,3PM - 7PM,Uber,Northeastern University,1.0
2018-11-28,3PM - 7PM,Uber,South Station,1.0
2018-11-28,3PM - 7PM,Uber,Theatre District,1.0
